snr,scenario,method,n,detect_rate,detect_rate_se,pre_break_false_alarm_rate,pre_break_false_alarm_rate_se,miss_rate,miss_rate_se,mean_delay_censored,mean_delay_censored_se,median_delay_detected,mean_delay_detected,mean_delay_detected_se
0.5,ramp_3s_hl25,lsc_composite,500,0.448,0.022261697292270087,0.022,0.006566447781940087,0.53,0.022342748192502798,185.0715746421268,3.753237059220674,98.5,108.25892857142857,4.298008096957775
0.5,ramp_3s_hl25,raw_cusum,500,0.976,0.00685141472745119,0.01,0.004454175497072093,0.014,0.005259593772650755,95.63838383838385,2.1215952979340926,89.5,93.42418032786885,1.979764746889158
2.0,abrupt_level_1s,lsc_state_cusum,500,0.18,0.017198592476314237,0.0,0.0,0.82,0.017198592476314233,235.104,1.7911031430204893,181.5,167.24444444444444,6.068590696074516
2.0,abrupt_level_1s,lsc_kalman_cusum,500,0.116,0.01433523623788572,0.03,0.007636532803997704,0.854,0.015807205175834907,232.29278350515463,2.4653277917945484,100.0,101.93103448275862,9.639065945319844
2.0,abrupt_level_1s,lsc_composite,500,0.112,0.014117741364768125,0.02,0.006267260734501832,0.868,0.015152927850580223,236.17142857142858,2.076848360149451,133.5,129.0,9.988889932215795
2.0,abrupt_level_1s,raw_cusum,500,0.294,0.02039509548493655,0.002,0.002,0.704,0.02043534209189623,223.43887775551102,2.2837510662350864,166.0,159.83673469387756,4.594669810126494
2.0,abrupt_level_3s,lsc_state_cusum,500,0.936,0.01095664621097098,0.0,0.0,0.064,0.01095664621097098,142.59,2.546715398044562,132.0,135.2457264957265,2.3662957346108433
2.0,abrupt_level_3s,lsc_kalman_cusum,500,0.674,0.020984009562393675,0.03,0.007636532803997704,0.296,0.020435342091896225,110.3319587628866,4.730185982619982,24.0,48.99406528189911,3.1129359306839586
2.0,abrupt_level_3s,lsc_composite,500,0.666,0.021113492347743807,0.02,0.006267260734501832,0.314,0.020776701920308976,126.24285714285715,4.574128301924387,38.0,67.89489489489489,3.6526197008124166
2.0,abrupt_level_3s,raw_cusum,500,0.988,0.004874373707264981,0.002,0.002,0.01,0.004454175497072093,98.16833667334669,1.912128552845908,91.0,96.63157894736842,1.8035037051094192
2.0,ramp_3s_hl25,lsc_state_cusum,500,0.902,0.013309631572104852,0.002,0.002,0.096,0.01318771517979239,149.76753507014027,2.6618270781644875,138.0,139.09977827050997,2.45898457179089
2.0,ramp_3s_hl25,lsc_kalman_cusum,500,0.538,0.022318338119870523,0.068,0.01126969440686162,0.394,0.02187429930168918,157.87768240343348,4.2028539031007215,76.0,90.41263940520446,3.5943871986738167
2.0,ramp_3s_hl25,lsc_composite,500,0.564,0.022198954641476896,0.04,0.008772337648291433,0.396,0.021893529941665716,163.69375,4.020286057986336,90.0,103.09574468085107,3.900749975121567
2.0,ramp_3s_hl25,raw_cusum,500,0.978,0.006566447781940087,0.004,0.002825591608118863,0.018,0.005951709476392708,107.94979919678715,2.1543546668008533,101.0,105.33537832310839,2.0096787556909037
